Column1,Column2,Column3,Column4
Initializing SD card...card initialized.,,,
Logging to: MLOG09.CSV,,,
millis,stamp,datetime,motion
126000, 947754663, 2000/0/13 9:11:3, Active
126999, 947754663, 2000/0/13 9:11:3, Active
128000, 947754663, 2000/0/13 9:11:3, Active
128998, 947754663, 2000/0/13 9:11:3, Active
129999, 947754663, 2000/0/13 9:11:3, Active
130999, 947754663, 2000/0/13 9:11:3, Active
131999, 947754663, 2000/0/13 9:11:3, Active
132999, 947754663, 2000/0/13 9:11:3, Active
133999, 947754663, 2000/0/13 9:11:3, Active
134999, 947754663, 2000/0/13 9:11:3, Active
135999, 947754663, 2000/0/13 9:11:3, Active
136999, 947754663, 2000/0/13 9:11:3, Active
137999, 947754663, 2000/0/13 9:11:3, Active
138999, 947754663, 2000/0/13 9:11:3, Active
139999, 947754663, 2000/0/13 9:11:3, Active
140999, 947754663, 2000/0/13 9:11:3, Active
142000, 947754663, 2000/0/13 9:11:3, Active
142999, 947754663, 2000/0/13 9:11:3, Active
144000, 947754663, 2000/0/13 9:11:3, Active
144999, 947754663, 2000/0/13 9:11:3, Active
145999, 947754663, 2000/0/13 9:11:3, Active
146999, 947754663, 2000/0/13 9:11:3, Active
147999, 947754663, 2000/0/13 9:11:3, Active
148999, 947754663, 2000/0/13 9:11:3, Active
149999, 947754663, 2000/0/13 9:11:3, Active
150999, 947754663, 2000/0/13 9:11:3, Active
151999, 947754663, 2000/0/13 9:11:3, Active
152999, 947754663, 2000/0/13 9:11:3, Active
153999, 947754663, 2000/0/13 9:11:3, Active
154999, 947754663, 2000/0/13 9:11:3, Active
155999, 947754663, 2000/0/13 9:11:3, Active
156999, 947754663, 2000/0/13 9:11:3, Active
157999, 947754663, 2000/0/13 9:11:3, Active
158999, 947754663, 2000/0/13 9:11:3, Active
160000, 947754663, 2000/0/13 9:11:3, Active
160999, 947754663, 2000/0/13 9:11:3, Active
161999, 947754663, 2000/0/13 9:11:3, Active
162999, 947754663, 2000/0/13 9:11:3, Inactive
163999, 947754663, 2000/0/13 9:11:3, Inactive
164999, 947754663, 2000/0/13 9:11:3, Inactive
165999, 947754663, 2000/0/13 9:11:3, Inactive
167000, 947754663, 2000/0/13 9:11:3, Active
167999, 947754663, 2000/0/13 9:11:3, Active
168999, 947754663, 2000/0/13 9:11:3, Active
169999, 947754663, 2000/0/13 9:11:3, Active
170999, 947754663, 2000/0/13 9:11:3, Active
171999, 947754663, 2000/0/13 9:11:3, Active
172999, 947754663, 2000/0/13 9:11:3, Active
173999, 947754663, 2000/0/13 9:11:3, Active
174999, 947754663, 2000/0/13 9:11:3, Active
176000, 947754663, 2000/0/13 9:11:3, Active
176999, 947754663, 2000/0/13 9:11:3, Active
177999, 947754663, 2000/0/13 9:11:3, Active
178999, 947754663, 2000/0/13 9:11:3, Active
179999, 947754663, 2000/0/13 9:11:3, Active
180999, 947754663, 2000/0/13 9:11:3, Active
181999, 947754663, 2000/0/13 9:11:3, Active
183000, 947754663, 2000/0/13 9:11:3, Active
183999, 947754663, 2000/0/13 9:11:3, Active
184999, 947754663, 2000/0/13 9:11:3, Active
185998, 947754663, 2000/0/13 9:11:3, Active
186999, 947754663, 2000/0/13 9:11:3, Active
187999, 947754663, 2000/0/13 9:11:3, Active
188999, 947754663, 2000/0/13 9:11:3, Active
190000, 947754663, 2000/0/13 9:11:3, Active
190999, 947754663, 2000/0/13 9:11:3, Active
192000, 947754663, 2000/0/13 9:11:3, Active
192999, 947754663, 2000/0/13 9:11:3, Active
193999, 947754663, 2000/0/13 9:11:3, Active
194999, 947754663, 2000/0/13 9:11:3, Active
195999, 947754663, 2000/0/13 9:11:3, Active
197000, 947754663, 2000/0/13 9:11:3, Active
197999, 947754663, 2000/0/13 9:11:3, Active
198999, 947754663, 2000/0/13 9:11:3, Active
199999, 947754663, 2000/0/13 9:11:3, Active
200999, 947754663, 2000/0/13 9:11:3, Active
201999, 947754663, 2000/0/13 9:11:3, Active
202999, 947754663, 2000/0/13 9:11:3, Active
203999, 947754663, 2000/0/13 9:11:3, Active
204999, 947754663, 2000/0/13 9:11:3, Active
205999, 947754663, 2000/0/13 9:11:3, Active
206999, 947754663, 2000/0/13 9:11:3, Active
208000, 947754663, 2000/0/13 9:11:3, Active
208999, 947754663, 2000/0/13 9:11:3, Active
